osmid,name,amenity,Longitude,Latitude
1675068861,Le Royal Exelmans,bar,2.2650429,48.8405023
1678243041,Au ptit bonheur,bar,2.3780355,48.8110754
1678353091,Volcano Lounge,bar,2.2546368,48.9465021
1679463071,Chez Gaston,bar,2.351542,48.891422
1679463986,Le provencial,bar,2.351629,48.891594
1679467252,L'Adriatique,bar,2.351729,48.891751
1679470399,Aux rendez-vous des amis,bar,2.351846,48.891951
1679673599,Le Panache Blanc,bar,1.9489923,48.743864
1684658935,Le Requin Chagrin,bar,2.3491518,48.8445643
1684818337,Le Mauzac,bar,2.3419694,48.8431091
1685222526,Le Tabac de la Mairie,bar,2.3351136,48.7949206
1685494665,MKP Opéra,bar,2.3323713,48.8693141
1690602238,Le Marigny,bar,2.3555931,48.7714628
1690635609,Bar Aux Randonneurs,bar,1.9313343,49.0603261
1690635639,Le Voltigeur,bar,1.9677502,49.0998908
1691558834,West Bar,bar,2.3175438,48.8862067
1692097042,Le Duplex,bar,2.3549738,48.862468
1692228845,Le Maryland,bar,2.2529641,48.8215244
1693086227,Les Quartauts,bar,2.2846887,48.827531
1696343703,L'Entr'Acte,bar,2.3179502,48.8153466
1702449830,L’Omadys,bar,2.3534523,48.8883787
1711192241,Le Longchamp,bar,2.4742871,48.6080015
1711318534,Student Bar,bar,2.3493332,48.8437872
1713316330,Les 4 Sergents,bar,2.5104745,48.8119523
1719158938,Le disque bleu,bar,2.2816522,48.9808283
1728954413,Bar des sportifs,bar,2.2481443,48.8968267
1730436128,Au Bienvenu,bar,1.8534299,48.6931756
1744161793,Le Voltaire,bar,2.1267452,48.7979195
1744841764,Le Chablis,bar,2.4889906,48.838039
1747523654,Le Balto,bar,2.4955032,48.7175447
1747533428,Le bout du monde,bar,2.5062764,48.7168333
1750728906,La Cale Sèche,bar,2.3860046,48.8663676
1750728908,La Laverie,bar,2.3900468,48.868661
1756731231,Bistrot Le Cap,bar,2.2997786,48.8408842
1756731237,L'Auvergne à Paris,bar,2.2998335,48.8407778
1762580987,Balladin,bar,2.8758323,48.9384348
1767635308,Aux vendanges,bar,2.271031,48.9153366
1768576355,Le Celia,bar,2.304665,48.8192385
1768812165,Brasserie Le Carrefour,bar,2.3059423,48.8196148
1775002277,Au point du jour,bar,1.7341709,48.9929645
1775032387,Bar du Temple,bar,1.7305767,48.9931888
1775056371,Le pont de Limay,bar,1.7291498,48.994353
1775076324,Bar Tabac PMU de la source,bar,1.7412707,48.997724
1775407497,Le Monte Christo,bar,2.4062717,48.8525397
1779444212,Comptoir du Marché,bar,2.3193931,48.8147362
1780808964,Bar,bar,2.1883599,48.9250603
1780831204,Tabac de la mairie,bar,2.1873775,48.9225741
1780843022,Café des sports,bar,2.1850145,48.9212196
1780844314,Bar,bar,2.1848603,48.9210222
1780845033,L'Express Bar,bar,2.1844284,48.9210813
1780850952,La Maximilien,bar,2.1847221,48.9198925
1784177264,Bar Le Celtique,bar,2.1232697,48.5534748
1784177277,Bar de la Gare,bar,2.1252798,48.551548
1785271479,Le Motel,bar,2.3765031,48.8527026
1785271517,Nul bar ailleurs,bar,2.3782626,48.8501042
1785271569,Les Abeilles,bar,2.3759666,48.8532457
1785987575,Le bar du marché,bar,2.4334742,48.8583239
1786108265,Le coupole d'argent,bar,2.2389966,48.8827126
1786718206,Brasserie 2000,bar,2.0335729,49.0470272
1789098273,Chez Véro,bar,2.0871067,48.3152939
1789894287,Le Petit Centre,bar,2.3666774,48.8660229
1789944746,UFO Bar,bar,2.3739208,48.8668369
1789946258,L'alimentation générale,bar,2.37435,48.8667946
1795141442,Le Balto,bar,2.2110663,48.8228473
1795161184,Bar du métro,bar,2.2942867,48.9150177
1798338089,Kaf'Law,bar,2.4340066,48.5699428
1803573031,Columbus Café & Co,bar,2.2562215,48.9475198
1812659246,La Manufacture,bar,2.3458902,48.8793707
1814540724,Le Simard,bar,2.1268822,48.8191621
1820460737,Bistro de la Place,bar,2.1283633,48.814913
1824334810,Cuba Compagnie,bar,2.3684747,48.8571157
1826085661,Le Réveil-Matin,bar,2.352284,48.8357356
1827138891,Le Dreamlight's,bar,2.3407712,48.8766343
1827903166,L'Esplanade,bar,2.4082089,48.7645893
1830661957,La Fine Mousse,bar,2.3817815,48.8648511
1835765099,Dupont Versailles,bar,2.288394,48.8328925
1838552620,La lucha libre,bar,2.348557,48.8490395
1838982011,Chez Ayadi,bar,2.3573626,48.9327671
1838982544,Café Denis,bar,2.3575625,48.9327486
1861767365,Open Café,bar,2.3576608,48.8709579
1867384174,Le coude à coude,bar,2.3480652,48.8881851
1867397539,Le Patio,bar,2.3485324,48.8884653
1867428325,La Chope du Château Rouge,bar,2.3478228,48.8869647
1867461866,Bar de l'Hôtel de Ville,bar,2.2926481,48.6762648
1867506008,Le Royal,bar,2.1319896,48.8416601
1869060190,L'Alibi,bar,2.3428666,48.8920227
1869850882,No Problemo,bar,2.3451141,48.8857577
1871182829,La Hune,bar,2.3337901,48.8554636
1871186489,Le Fumoir,bar,2.3409119,48.860494
1873160543,Le Lion d'Or,bar,2.8342839,48.1522148
1876650298,Clos de Coignières,bar,1.9588974,48.5013181
1877475420,L'étoile de Montmartre,bar,2.3394636,48.8910607
1879638998,Le Coste Bleu,bar,2.4291176,48.8466235
1881131630,Le Berlioz,bar,2.4288952,48.8461814
1884433764,Brewberry,bar;pub,2.3485399,48.8429926
1886081456,Rock 'n Roll Circus,bar,2.3372823,48.8827601
1888459895,L'expo,bar,2.400611,48.9152296
1889706600,Café Baraka,bar,2.2512895,48.9016106
1892973503,L'Impondérable,bar,2.3909854,48.8728278
1894585956,Le Senlis,bar,2.2971194,48.8883514
1898757550,Kas' bar,bar,2.0955586,48.8946312
1898757665,Le Café Jules,bar,2.0926062,48.8953082
1899126641,4-2-1,bar,2.4644255,48.8876293
1904461967,Roy Henri,bar,2.092582,48.8977482
1904888779,Les Trois Mailletz,bar,2.3465789,48.852189
1907153763,L'Autobus,bar,2.4063369,48.8490772
1909243311,Le Kiez,bar,2.3330775,48.893977
1909254294,Bar de l'Espérance,bar,2.3293592,48.8935624
1909776791,Bar de la Poste,bar,2.3334056,48.9112444
1909801504,Le Saint-Philippe,bar,2.3364095,48.9142997
1909840831,Le Terminus,bar,2.3296252,48.8974071
1909862522,L'Anjou,bar,2.3393455,48.8957777
1910090626,Café de la Gare,bar,2.2108214,48.7062888
1916123028,Le Petit Hameau,bar,2.2888425,48.8350746
1916173383,La Bauloise,bar,2.2873426,48.8340535
1917523408,La Croix du Sud,bar,2.3582427,48.8221377
1921935641,Le Vaillant,bar,2.3414358,48.78084
1925275933,Le Villageois,bar,3.0750703,48.592921
1927627184,La Cave Café,bar,2.3395224,48.8912689
1930249941,Le Lieu Dit,bar,2.3897258,48.8682806
1930684709,Les Jardies,bar,2.2003607,48.8272533
1931490819,Le Florence,bar,2.3087625,48.8748542
1934837689,Bar-Tabac Le Pavé Des Gardes,bar,2.2106344,48.8115597
1939149271,Millésime,bar,2.2819707,48.8421986
1941555013,La Bricole,bar,2.3330215,48.8963284
1950661360,L'Étoile d'Or,bar,2.3994629,48.8575637
1950785346,Le Saint-Blaise,bar,2.4074098,48.8577147
1950787049,Chez Jean-Pierre,bar,2.3373498,48.8518332
1952633198,Chez Toumert,bar,2.2290512,48.8759342
1955238008,Des bulles et des ballons,bar,2.423624,48.8536991
1955238009,Renaissance,bar,2.4263143,48.8522009
1955238010,Les tonneaux,bar,2.4238385,48.8520139
1956407082,Le Zénith,bar,2.0458245,48.7853415
1957130714,Le Beaumarchais,bar,2.4314615,48.8571054
1957130719,Le Marceau,bar,2.4256465,48.8560712
1957130724,Royal Montreuil,bar,2.433154,48.8574266
1957130726,Café du Centre,bar,2.4272504,48.8563589
1957130730,L'Alembert,bar,2.4175545,48.8548394
1957144764,L'Industrie,bar,2.4276788,48.8542026
1962254628,Le Wilson,bar,2.4387001,48.8531173
1975260638,Le celtique,bar,1.9105014,48.991379
1978246831,La Pena Festayre,bar,2.386662,48.8969286
1980895343,Bistrot de l'Avenir,bar,2.4061987,48.8505469
1982876799,La Sevrienne,bar,2.2103421,48.8242064
1982876804,Bar Tabac de la Mairie,bar,2.2113439,48.8242303
1998920845,bar,bar,2.2421025,48.6605512
2000109905,Bistrot des Saules,bar,2.052651,48.7840736
2000813093,Bar du Métro,bar,2.374176,48.8882304
2003145821,Le Spicy home,bar,2.3506638,48.863357
2003591358,Au rendez-vous des chauffeurs,bar,2.4279651,48.857744
