NOM DU MUSEE,ADR,CP,VILLE,SITWEB,latitude,longitude
"Musée de la Vie Bourguignonne, Perrin de Puycousin","Monastère des Bernardines

15-17, rue Sainte-Anne",21000,DIJON,http://www.musees-bourgogne.org,47.317415,5.037131
Musée François Rude,"8, Rue Vaillant",21000,DIJON,http://mba.dijon.fr ou www.ville-dijon.fr,47.321222,5.04395
Musée d'Art Sacré,"Monastère des Bernardines

15-17, rue Sainte-Anne",21000,DIJON,Site des musées de Bourgogne,47.317415,5.037131
Muséum - Jardin des Sciences,"Parc de l'Arquebuse

14, Rue Jehan de Marville - 1 Avenue Albert 1er",21000,DIJON,http://www.dijon.fr,47.322449,5.015052
Musée Archéologique,"5, Rue du Docteur Maret

CS 73310",21033,DIJON Cedex,Site des musées de Bourgogne - www.musees-bourgogne.org,47.32236,5.034429
Musée Noisot,Mairie de Fixin,21220,FIXIN,Site des musée de Bourgogne,47.243639,4.989806
Musée des Beaux-Arts,"Chapelle des Ursulines

Rue Piron",21500,MONTBARD,http://www.montbard.com/,47.624475,4.336854
Musée Municipal,"12, Rue Camille Rodier",21700,NUITS-SAINT-GEORGES,Site des musées de Bourgogne,47.138661,4.950405
Musée Municipal François Pompon,"3, Place du Docteur Roclore",21210,SAULIEU,Site des musées de Bourgogne ou www.saulieu.fr,47.279459,4.229714
Musée Municipal,"3, Rue Jean-Jacques Collenot",21140,SEMUR-EN-AUXOIS,Site des musées de Bourgogne,47.490173,4.336447
Musée du Septennat,"6, rue du Château",58120,CHATEAU-CHINON,http://www.cg58.fr,47.06721,3.934311
Musée du Costume,"16-18, rue Saint Christophe",58120,CHATEAU-CHINON,http://www.cg58.fr/patrimoi/costu.htm,47.066701,3.933691
Musée d'Art et d'Histoire Romain Rolland,Avenue de la République,58500,CLAMECY,http://www.musees-bourgogne.org,47.460717,3.520761
Musée de la Loire de Cosne sur Loire,Place de la Résistance,58200,COSNE-SUR-LOIRE,http://www.mairie-cosnessurloire.fr/Services/MUSEEE/ACCUEIL.htm,47.410594,2.922716
Musée Municipal,"33, Rue des Chapelains",58400,LA CHARITE-SUR-LOIRE,Site de l'OTSI ou des musées de Bourgogne,47.178733,3.015633
Musée de la Mine,"1, Avenue de la République",58260,LA MACHINE,http://www.cc-loire-foret.fr ou www.cg58.fr et Site des musées de Bourgogne,46.889225,3.463514
Musée de la Faïence Frédéric Blandin,"16, rue Saint-Genest",58000,NEVERS,http://www.musee-faience.nevers.fr,46.98629,3.155037
Musée Ernest Guédon,"17, quai Jules-Pabiot",58150,POUILLY-SUR-LOIRE,,47.285947,2.949487
Musée du Grès de Puisaye,Château de Saint-Amand,58310,SAINT-AMAND-EN-PUISAYE,http://www.cg58.fr - Site musées de Bourgogne,47.536865,3.067214
Musée Auguste Grasset,Place de la Mairie,58210,VARZY,http://www.cg58.fr ou www.musees-bourgogne.org,47.359969,3.388063
Museum d'Histoire Naturelle Jacques de La Comble,"14, Rue Saint-Antoine",71400,AUTUN,http://www.autun.com/tourisme/museum.php,46.947996,4.301812
Musée Lapidaire Saint-Nicolas,Rue Saint Nicolas,71400,AUTUN,,46.955532,4.300124
Musée Rolin,"5, rue des Bancs",71400,AUTUN,http://www.autun.com ou Site des musées de Bourgogne,46.961209,4.305784
Musée Verger Tarin,Rue des Sous-Chantres,71400,AUTUN,,46.944133,4.299862
Musée de la Mine,"34, rue du Bois Clair",71450,BLANZY,http://www.ecomusee-creusot-montceau.fr Site des musées de Bourgogne et de l'écomusée,46.701488,4.382962
Musée Saint-Nazaire,Rue St Nazaire,71140,BOURBON-LANCY,Site des musées de Bourgogne ou www.bourbon-lancy.com/musees_fr_02_07_02.html,46.624461,3.770111
Musée Nicéphore Niepce,"28, Quai des Messageries",71100,CHALON-SUR-SAONE,http://www.museeniepce.com,46.780045,4.855727
Musée Denon,Place de l'hotel de ville,71100,CHALON-SUR-SAONE,site des musées de Bourgogne,46.78089,4.853022
Musée du Prieuré de Charolles,Rue du Prieuré,71120,CHAROLLES,Site des musées de Bourgogne ou site de la ville - http://www.ville-charolles.fr/musee-du-prieure,46.432494,4.279233
Musée René Davoine,"32, rue René Davoine",71120,CHAROLLES,http://www.institut-charolais.com (site de l'office du tourisme),46.4329,4.271817
"L'Atelier d'un Journal"" de Louhans - Musée Municipal","29, Rue des Dodânes",71500,LOUHANS,http://www.ecomusee-de-la-bresse.com ou site des musées de Bourgogne,46.630156,5.224455
Musée des Ursulines,"5, rue des Ursulines",71000,MACON,http://www.macon.fr/Culture-sports-et-loisirs/Les-Musees-de-Macon,46.307159,4.832892
Musée Lamartine,"41, Rue Sigorgne",71000,MACON,http://www.macon.fr/Culture-sports-et-loisirs/Les-Musees-de-Macon,46.305187,4.832539
Musée de la Tour du Moulin,"7-9, rue de la Tour",71110,MARCIGNY,http://www.marcigny.fr/musee-de-la-tour-du-moulin - http://tourdumoulin.blogspot.com,46.274545,4.043191
Musée Eucharistique du Hiéron,"13, Rue de la Paix",71600,PARAY-LE-MONIAL,http://www.musee-hieron.fr,46.451822,4.123021
Musée Municipal,Avenue Jean-Paul II,71600,PARAY-LE-MONIAL,,46.450634,4.119775
Ecomusée de la Bresse Bourguignonne,Château départemental,71270,PIERRE-DE-BRESSE,http://www.ecomusee-de-la-bresse.com,46.88301,5.262064
Musée Départemental du Compagnonnage,Le Bourg,71570,ROMANECHE-THORINS,http://www.cg71.fr/musee_compagnonnage/ ou http://musee-compagnonnage.cg71.fr,46.186127,4.741798
Musée du Terroir,Le Champ Bressan,71470,ROMENAY,,46.501598,5.06602
Musée Départemental de Préhistoire de Solutré,,71960,SOLUTRE-POUILLY,http://www.musees-bourgogne.org,46.294797,4.736366
Hôtel Dieu - Musée Greuze,"21, rue de l'hôpital",71700,TOURNUS,Site des musées de Bourgogne,46.562137,4.910839
Musée Bourguignon -  Perrin de Puycousin,"8, Place de l'Abbaye",71700,TOURNUS,Site des musées de Bourgogne,46.566134,4.909274
Maison du Blé et du Pain,"2, Rue de l'Egalité",71350,VERDUN-SUR-LE-DOUBS,http://www.verdunsurledoubs.fr rubrique culture ou www.ecomusee-de-la-bresse.com,46.899606,5.021369
Musée Leblanc-Duvernois,"9 bis, Rue d'Egleny",89000,AUXERRE,Site des musées de Bourgogne,47.795393,3.566248
Muséum - Maison de l'Eau,"5, Boulevard Vauban",89000,AUXERRE,Site des musées de Bourgogne,47.796936,3.564362
Musée d'Art et d'Histoire,"Abbaye St-Germain

2 bis, Place Saint-Germain",89000,AUXERRE,Site des musées de Bourgogne,47.800283,3.571975
Musée de l'Avallonnais,"5, Rue du Collège

B.P. 67",89206,AVALLON Cedex,http://www.museeavallonnais.fr- site des musées de Bourgogne - site ville,47.486968,3.906795
Musée des Arts Naïfs et Populaires de Noyers sur Serein,"25, Rue de l'Eglise",89310,NOYERS-SUR-SEREIN,Site des musées de Bourgogne ou www.noyers-sur-serein.com/artnaif.htm,47.72104,3.966631
Musée de l'Aventure du Son,Place de l'hôtel de ville,89170,SAINT-FARGEAU,http://www.aventureduson.fr,47.641201,3.070611
Musée Colette,Château,89520,SAINT-SAUVEUR-EN-PUISAYE,http://www.centre-colette.com - http://www.yonne-89.net/MuseeColette.htm,47.617677,3.199325
Musée Muncipal,Place de la Cathédrale,89100,SENS,Site des musées de Bourgogne,48.197826,3.282682
Musée Municipal de Tonnerre,"22, Rue Rougemont",89700,TONNERRE,,47.855191,3.97484
Musée Villeneuvien,"Porte de Joigny et 2, Rue Carnot",89500,VILLENEUVE-SUR-YONNE,Site de la ville,48.080297,3.294088
Musée d'Art et d'Histoire du Puisaye,Rue Paul-Huillard,89130,VILLIERS-SAINT-BENOIT,,47.780167,3.207453
Musée du Château de Dinan,Rue du Château,22100,DINAN,http://www.mairie-dinan.com,48.450306,-2.043857
Musée National de la Marine,Château de Brest,29240,BREST,http://www.musee-marine.fr/brest,48.385372,-4.488366
Musée des Beaux-Arts de Brest,"24, Rue Traverse",29200,BREST,http://www.musee-brest.com,48.385326,-4.490018
Ecomusée des Monts d'Arrée - Moulins de Kerouat,Moulins de Kerouat,29450,COMMANA,http://www.ecomusee-monts-arree.fr,48.415821,-4.006179
Musée de la Pêche,"Concarneau Cornouaille Agglomération

3, Rue Vauban",29900,CONCARNEAU,http://www.concarneau-cornouaille.fr - www.musee-peche.fr,47.872103,-3.915485
Le Port-Musée,Place de l'Enfer,29100,DOUARNENEZ,http://www.port-musee.org,48.092809,-4.332891
Musée de Morlaix,Place des Jacobins,29600,MORLAIX,http://www.musee.ville.morlaix.fr,48.577109,-3.825372
Musée des Phares et Balises,Le Créac'h,29242,OUESSANT,http://www.parc-naturel-armorique.fr,48.454477,-5.087351
Ecomusée de l'Île d'Ouessant - Maison du Niou Huella,Le Niou Huella,29242,OUESSANT,http://www.parc-naturel-armorique.fr,48.460406,-5.110939
Musée de Pont-Aven,Place de l'Hôtel de Ville,29930,PONT-AVEN,http://www.pontaven.fr,47.855413,-3.747175
Musée Bigouden,Square de l'Europe,29120,PONT-L'ABBE,http://www.museebigouden.fr,47.862215,-4.236762
Musée des Beaux-Arts,"40, Place Saint-Corentin",29000,QUIMPER,http//musee-beauxarts.quimper.fr,47.996206,-4.10238
Musée Départemental Breton,"Palais des Evêques

1, Rue du Roi Gradlon",29000,QUIMPER,http://www.cg29.fr/culture/mdb.htm - Site en cours,47.995125,-4.102602
